postal_code;locality_name;state_name;lat;lon
A4415;LA ESPERANZA;Salta;"Argentina";-24.9881;-66.0048
A4415;MINAS SAN WALTERIO;Salta;"Argentina";-24.9881;-66.0048
A4415;YACERA;Salta;"Argentina";-24.9881;-66.0048
A4415;POTRERO (PAYOGASTA, DPTO. CACHI);Salta;"Argentina";-24.9881;-66.0048
A4415;LOMA DEL BURRO;Salta;"Argentina";-24.9881;-66.0048
A4415;SAN MARTIN LA CUESTA;Salta;"Argentina";-24.9881;-66.0048
A4415;MINA SAN ESTEBAN;Salta;"Argentina";-24.9881;-66.0048
A4415;BARRIO NEGRO (MINAS);Salta;"Argentina";-24.9881;-66.0048
A4415;EL MARAY;Salta;"Argentina";-24.9881;-66.0048
A4415;TRIGAL;Salta;"Argentina";-24.9881;-66.0048
A4415;MAL PASO;Salta;"Argentina";-24.9881;-66.0048
A4415;EL CANDADO;Salta;"Argentina";-24.9881;-66.0048
A4415;PUEBLO VIEJO (LA POMA, DPTO. LA POMA);Salta;"Argentina";-24.9881;-66.0048
A4415;MINAS VICTORIA;Salta;"Argentina";-24.9881;-66.0048
A4415;SALADILLO (LA POMA, DPTO. LA POMA);Salta;"Argentina";-24.9881;-66.0048
A4415;LAS ZANJAS;Salta;"Argentina";-25.1;-65.7667
A4415;TONCO;Salta;"Argentina";-25.0667;-65.95
A4415;PAYOGASTA;Salta;"Argentina";-25.0333;-66.1
A4415;LA POMA;Salta;"Argentina";-24.7167;-66.2167
A4415;PUNTA DE AGUA;Salta;"Argentina";-24.9;-66.05
A4415;PALERMO OESTE;Salta;"Argentina";-24.9333;-66.1833
A4415;QUEBRADA DE ESCOIPE;Salta;"Argentina";-25.1667;-65.7667
A4417;CACHI;Salta;"Argentina";-25.1;-66.1833
A4417;CACHI ADENTRO;Salta;"Argentina";-25.0833;-66.2333
A4417;PUIL;Salta;"Argentina";-25.0917;-66.2083
A4417;CUESTA DEL OBISPO;Salta;"Argentina";-25.0917;-66.2083
A4417;RIO TORO;Salta;"Argentina";-25.0917;-66.2083
A4417;PUEBLO VIEJO (CACHI, DPTO. CACHI);Salta;"Argentina";-25.0917;-66.2083
A4417;PUERTA DE LA PAYA;Salta;"Argentina";-25.0917;-66.2083
A4417;RIO BLANCO;Salta;"Argentina";-25.0917;-66.2083
A4419;DIAMANTE (MOLINOS, DPTO. MOLINOS);Salta;"Argentina";-25.3148;-66.2778
A4419;CERRO BRAVO;Salta;"Argentina";-25.3148;-66.2778
A4419;PEÑAS BLANCAS;Salta;"Argentina";-25.3148;-66.2778
A4419;EL BREALITO;Salta;"Argentina";-25.3148;-66.2778
A4419;ESQUINA (MOLINOS, DPTO. MOLINOS);Salta;"Argentina";-25.3148;-66.2778
A4419;HOMBRE MUERTO;Salta;"Argentina";-25.3148;-66.2778
A4419;CORRIDA DE CORI;Salta;"Argentina";-25.3148;-66.2778
A4419;CERRO DE LA ZORRA VIEJA;Salta;"Argentina";-25.3148;-66.2778
A4419;TOMUCO;Salta;"Argentina";-25.3148;-66.2778
A4419;COLTE;Salta;"Argentina";-25.3148;-66.2778
A4419;BURRO YACO;Salta;"Argentina";-25.3148;-66.2778
A4419;COLMENAR;Salta;"Argentina";-25.3148;-66.2778
A4419;SECLANTA ADENTRO;Salta;"Argentina";-25.3148;-66.2778
A4419;TACUIL;Salta;"Argentina";-25.3148;-66.2778
A4419;CERRO DEL AGUA DE LA FALDA;Salta;"Argentina";-25.3148;-66.2778
A4419;COLOME;Salta;"Argentina";-25.3148;-66.2778
A4419;SAN JOSE DE COLTE;Salta;"Argentina";-25.3148;-66.2778
A4419;ANGOSTURA;Salta;"Argentina";-25.4833;-66.2333
A4419;BANDA GRANDE;Salta;"Argentina";-25.4167;-66.2333
A4419;HUMANAS;Salta;"Argentina";-25.3148;-66.2778
A4419;VOLCAN AZUFRE;Salta;"Argentina";-25.3148;-66.2778
A4419;MOLINOS;Salta;"Argentina";-25.4167;-66.3167
A4419;SAN JOSE DE ESCALCHI;Salta;"Argentina";-25.2;-66.2
A4419;LA PAYA;Salta;"Argentina";-25.15;-66.2333
A4419;EL CHURCAL;Salta;"Argentina";-25.3667;-66.2333
A4419;LURACATAO;Salta;"Argentina";-25.2333;-66.45
A4419;SECLANTAS;Salta;"Argentina";-25.3;-66.25
A4419;BREALITO;Salta;"Argentina";-25.2667;-66.35
A4421;SAUCE ALEGRE;Salta;"Argentina";-25.3042;-65.5097
A4421;PIEDRAS MORADAS;Salta;"Argentina";-25.25;-65.4667
A4421;FACUNDO ZUVIRIA;Salta;"Argentina";-25.0833;-65.4833
A4421;AMPASCACHI;Salta;"Argentina";-25.3333;-65.5333
A4421;LA MERCED;Salta;"Argentina";-25.7667;-66
A4421;SAN VICENTE;Salta;"Argentina";-25.3042;-65.5097
A4421;DOCTOR FACUNDO ZUVIRIA;Salta;"Argentina";-25.0833;-65.4833
A4421;OSMA;Salta;"Argentina";-25.2;-65.5
A4421;SAN AGUSTIN;Salta;"Argentina";-24.9833;-65.4167
A4421;SAN JOSE;Salta;"Argentina";-25.2;-66.2
A4421;SAN NICOLAS;Salta;"Argentina";-25.4333;-65.5667
A4421;ALMONA;Salta;"Argentina";-25.9667;-64.5167
A4421;CORONEL MOLDES;Salta;"Argentina";-25.2667;-65.4833
A4421;EL CARRIL;Salta;"Argentina";-25.0833;-65.4667
A4421;SAN MARTIN (LA MERCED, DPTO. CERRILLOS);Salta;"Argentina";-25.3042;-65.5097
A4421;PASO DEL RIO;Salta;"Argentina";-25.3042;-65.5097
A4421;CACHO MOLINO;Salta;"Argentina";-25.3042;-65.5097
